paper_id,author
19826,C Knoblock
19826,Y Arens
19826,C Hsu
80992,B Liming
80992,M Ren
80992,P Mukesh
80992,A Singhal
80992,P Douglas
80992,S Kerr
80992,P Harvey
80992,F Adviser
1109936,J Ponte
1109936,W Bruce
1121282,R Chandrasekar
1121282,B Srinivas
4527,Y Jing
4527,W Bruce
22112,E Brown
33991,T Rajashekar
33991,W Bruce
98029,E Freeman
98029,S Fertig
128796,A Pannu
128796,K Sycara
138991,A Pannu
138991,K Sycara
249849,D Oard
5050,D Lewis
577487,C Hafner
577487,N Fridman
520640,B Yuwono
520640,D Lee
29459,E Brown
29459,J Callan
29459,W Bruce
29459,J Croft
29459,E Moss
1103471,A Hauptmann
1103471,M Witbrock
181487,D Aronow
181487,S Soderland
181487,J Ponte
29460,B Cahoon
29460,K McKinley
1108185,T Hofmann
1108525,M Littman
1108525,F Jiang
1108525,D Bowman
1108525,L Hodges
1108525,J Bolter
521840,M Keim
521840,D Lewis
521840,D Madigan
186019,P Sheridan
186019,J Ballerini
692699,T Huibers
692699,P Bruza
29470,B Jeong
29470,E Omiecinski
1134753,B Rubin
1134753,J Naughton
1135102,H Helbig
1135102,C Gnoerlich
1135102,D Menke
18452,W Bruce
18452,J Croft
18452,H Fujii
129558,A Ram
129558,L Hunter
23449,S Kaski
23449,T Honkela
23449,K Lagus
23449,T Kohonen
282,B Bartell
282,G Cottrell
282,R Belew
3286,A Mendelzon
3286,G Mihaila
3286,T Milo
3516,T Yan
3516,H GarciaMolina
19913,G Salton
19913,A Singhal
19913,C Buckley
19913,M Mitra
4518,J Callan
4518,W Bruce
4518,J Broglio
6840,J Callan
6840,W Bruce
6840,S Harding
9086,T Joachims
1109485,D Lewis
1109485,K Knowles
1109485,D Lewis
1109485,D Lewis
16217,D Freitag
11036,J Callan
11036,W Bruce
16917,R Krovetz
12956,D Lewis
12956,M Ringuette
24023,D Beeferman
24023,A Berger
24023,J Lafferty
24046,H Wactlar
24046,A Hauptmann
24046,M Witbrock
20373,D Haines
20373,W Bruce
20373,U Manber
20373,S Wu
34897,D Cutting
34897,D Karger
34897,J Pedersen
34897,J Tukey
39450,L Ballesteros
39450,B Croft
40735,C Papadimitriou
40735,P Raghavan
40735,H Tamaki
40735,S Vempala
19896,J Callan
47400,J Xu
47400,W Bruce
88348,D Lewis
100336,M Hearst
1106310,J Callan
1106310,Z Lu
1106310,W Bruce
101929,M Hearst
844031,G Towell
844031,E Voorhees
844031,N Gupta
844031,B JohnsonLaird
103548,J Daniels
103551,E Rissland
103551,J Daniels
18447,C Buckley
18447,G Salton
18447,J Allan
18447,A Singhal
104438,D Lewis
104438,W Bruce
106531,P Bruza
106531,T VanDerWeide
106531,P Bruza
106531,T VanDerWeide
107173,J Boyan
107173,D Freitag
107173,T Joachims
107176,W Cohen
310839,C Knoblock
310839,J Ambite
116228,A Veerasamy
116228,S Hudson
116228,S Navathe
117391,K Jones
125090,T Hofmann
125090,J Puzicha
4524,L Gravano
4524,H GarcaMolina
4524,A Tomasic
150822,A Ambainis
154751,W Blustein
181485,J Allan
181485,R Glushko
190298,I Moulinier
190298,G Raskinis
190298,J Ganascia
190298,V Magnus
4153,S Dumais
24033,M Hearst
24033,C Plaunt
134919,E Brown
134919,J Callan
134919,W Bruce
132729,B Rehder
132729,M Littman
132729,S Dumais
132729,T Landauer
240829,F Korn
32721,A Tomasic
32721,H GarciaMolina
311332,M Goldszmidt
181511,M Hearst
659334,J Kleinberg
262331,E Riloff
577505,N Noy
325457,C Faloutsos
325457,D Oard
325457,D Clouse
325457,G Cottrell
693417,P Bruza
693417,T Huibers
362910,C Wills
362910,M Murray
362910,R Thangarajah
262323,H Ahonen
262323,O Heinonen
262323,M Klemettinen
262323,A Inkeri
23433,T Honkela
23433,S Kaski
23433,K Lagus
23433,T Kohonen
163698,W Gale
163698,K Church
163698,D Yarowsky
9075,R Burke
9075,K Hammond
9075,V Kulyukin
9075,S Lytinen
9075,N Tomuro
9075,S Schoenberg
272344,J Daniels
272344,E Rissland
16220,D Lewis
16220,L Birnbaum
16220,G Collins
290565,W Cohen
797120,A Singhal
797120,G Salton
1102546,J Xu
1102546,J Callan
1103030,J Allan
1103030,V Lavrenko
1103030,R Papka
1103045,A Hauptmann
1103045,R Jones
1103045,K Seymore
1103045,S Slattery
1103045,M Witbrock
1103045,M Siegler
5045,D Lewis
5045,W Gale
5045,I Bruce
5045,C VanRijsbergen
1103282,A Tombros
1103282,M Sanderson
312711,Z Lu
312711,K McKinley
